Districts,Districts_code,0 to 19 Age,20 to 44 Age,45 to 64 Age,65 and Above,Total,Mean Age,Median,,,,,,,,,,,,,0 to 19 Age
Adur,E07000223,13360,17955,16433,13434,61182,43,44,,,,,,,,,,,,,25285
Allerdale,E07000026,20887,26978,28524,20033,96422,43.1,45,,,,,,,,,,,,,115369
Amber Valley,E07000032,27298,36961,35271,22779,122309,41.8,43,,,,,,,,,,,,,22821
Arun,E07000224,29701,40183,40306,39328,149518,45.5,47,,,,,,,,,,,,,36256
Ashfield,E07000170,28602,38521,32136,20238,119497,40,41,,,,,,,,,,,,,68489
Ashford,E07000105,30588,36305,31095,19968,117956,39.6,40,,,,,,,,,,,,,31289
Aylesbury Vale,E07000004,44040,55795,48266,26036,174137,39.1,40,,,,,,,,,,,,,47571
Babergh,E07000200,19916,23597,25471,18756,87740,43.1,45,,,,,,,,,,,,,45229
Barking and Dagenham,E09000002,58349,71487,36754,19321,185911,33.4,32,,,,,,,,,,,,,67441
Barnet,E09000003,90464,139202,79288,47432,356386,36.8,35,,,,,,,,,,,,,44765
Barnsley,E08000016,54287,73704,63220,40010,231221,40.4,41,,,,,,,,,,,,,33459
Barrow-in-Furness,E07000027,15873,21036,19223,12955,69087,41.3,42,,,,,,,,,,,,,62653
Basildon,E07000066,43999,57725,44885,27888,174497,39.1,39,,,,,,,,,,,,,42296
Basingstoke and Deane,E07000084,41281,57458,44909,24151,167799,38.7,39,,,,,,,,,,,,,32354
Bassetlaw,E07000171,25846,33585,32491,20941,112863,41.5,43,,,,,,,,,,,,,83400
Bath and North East Somerset,E06000022,40788,58536,44875,31817,176016,40.3,40,,,,,,,,,,,,,74335
Bedford,E06000055,39880,52612,40119,24868,157479,38.9,39,,,,,,,,,,,,,31396
Bexley,E09000004,60043,76019,58723,37212,231997,38.8,39,,,,,,,,,,,,,48667
Birmingham,E08000025,310198,402173,222461,138213,1073045,35.3,32,,,,,,,,,,,,,20887
Blaby,E07000129,22232,28948,25860,16875,93915,40.9,42,,,,,,,,,,,,,15873
Blackburn with Darwen,E06000008,42296,51531,34601,19061,147489,36.2,35,,,,,,,,,,,,,23871
Blackpool,E06000009,32354,43963,38509,27239,142065,41.3,42,,,,,,,,,,,,,15334
Bolsover,E07000033,17395,23995,20692,13784,75866,41,42,,,,,,,,,,,,,10904
Bolton,E08000001,71358,93076,69812,42540,276786,38.4,38,,,,,,,,,,,,,20431
Boston,E07000136,14276,20403,17216,12742,64637,41.5,42,,,,,,,,,,,,,71358
Bournemouth,E06000028,37925,71135,42120,32311,183491,40,38,,,,,,,,,,,,,46249
Bracknell Forest,E06000036,29085,40701,29272,14147,113205,37.4,37,,,,,,,,,,,,,130117
Bradford,E08000032,150285,182928,119847,69392,522452,36.2,34,,,,,,,,,,,,,62306
Braintree,E07000067,35808,46817,40046,24413,147084,40,41,,,,,,,,,,,,,56252
Breckland,E07000143,28888,37990,35475,28138,130491,42.6,44,,,,,,,,,,,,,57338
Brent,E09000005,77625,135184,65730,32676,311215,35,32,,,,,,,,,,,,,66784
Brentwood,E07000068,17063,22082,20407,14049,73601,41.6,43,,,,,,,,,,,,,53910
Brighton and Hove,E06000043,59757,116780,61140,35692,273369,37.4,35,,,,,,,,,,,,,56504
"Bristol, City of",E06000023,101214,180283,90865,55872,428234,36.5,33,,,,,,,,,,,,,75565
Broadland,E07000144,26552,33985,36293,27816,124646,43.9,45,,,,,,,,,,,,,21594
Bromley,E09000006,74680,102138,80537,52037,309392,39.9,40,,,,,,,,,,,,,24383
Bromsgrove,E07000234,21023,26570,26909,19135,93637,42.6,44,,,,,,,,,,,,,15284
Broxbourne,E07000095,23458,31100,23755,15296,93609,39.1,39,,,,,,,,,,,,,20766
Broxtowe,E07000172,23767,35419,30203,20098,109487,41.4,42,,,,,,,,,,,,,32686
Burnley,E07000117,21594,28304,23027,14134,87059,39.4,39,,,,,,,,,,,,,22669
Bury,E08000002,46249,60287,48984,29540,185060,39.2,40,,,,,,,,,,,,,35650
Calderdale,E08000033,50080,65448,55826,32472,203826,39.6,40,,,,,,,,,,,,,13347
Cambridge,E07000008,27020,58924,23322,14601,123867,35.6,31,,,,,,,,,,,,,16593
Camden,E09000007,46183,107359,42819,23977,220338,35.7,33,,,,,,,,,,,,,25046
Cannock Chase,E07000192,23381,32391,26033,15657,97462,39.6,40,,,,,,,,,,,,,26342
Canterbury,E07000106,36722,49522,36456,28445,151145,40,39,,,,,,,,,,,,,22561
Carlisle,E07000028,23871,33794,29962,19897,107524,41.3,42,,,,,,,,,,,,,36756
Castle Point,E07000069,19233,24564,25213,19001,88011,43.2,45,,,,,,,,,,,,,107240
Central Bedfordshire,E06000056,61791,81679,71022,39889,254381,39.6,40,,,,,,,,,,,,,60683
Charnwood,E07000130,39209,57345,42284,27262,166100,39.3,39,,,,,,,,,,,,,40711
Chelmsford,E07000070,39526,55680,45086,28018,168310,40.1,40,,,,,,,,,,,,,75059
Cheltenham,E07000078,25932,42542,27929,19329,115732,39.5,38,,,,,,,,,,,,,72051
Cherwell,E07000177,35111,48141,36917,21699,141868,38.9,39,,,,,,,,,,,,,62692
Cheshire East,E06000049,83400,109682,105673,71372,370127,42,43,,,,,,,,,,,,,38506
Cheshire West and Chester,E06000050,74335,102365,91808,61100,329608,41.3,42,,,,,,,,,,,,,39364
Chesterfield,E07000034,23367,32401,28729,19291,103788,41.4,42,,,,,,,,,,,,,43834
Chichester,E07000225,23891,30173,31836,27894,113794,44.5,46,,,,,,,,,,,,,11767
Chiltern,E07000005,23231,24523,26913,17968,92635,41.6,44,,,,,,,,,,,,,19179
Chorley,E07000118,24383,34670,30140,17962,107155,40.5,41,,,,,,,,,,,,,36206
Christchurch,E07000048,9431,11419,12715,14187,47752,47.1,49,,,,,,,,,,,,,12198
City of London,E09000001,784,3546,2010,1035,7375,41.4,39,,,,,,,,,,,,,11069
Colchester,E07000071,41367,61453,42946,27308,173074,38.9,38,,,,,,,,,,,,,22646
Copeland,E07000029,15334,20911,21004,13354,70603,42.1,44,,,,,,,,,,,,,19293
Corby,E07000150,15683,21613,15647,8312,61255,37.5,37,,,,,,,,,,,,,54287
Cornwall,E06000052,115211,148328,153493,115241,532273,43.3,45,,,,,,,,,,,,,72636
Cotswold,E07000079,17602,21882,24908,18489,82881,44.2,46,,,,,,,,,,,,,62264
County Durham,E06000047,115369,161933,143595,92345,513242,41,42,,,,,,,,,,,,,136816
Coventry,E08000026,82951,119032,68727,46250,316960,36.8,34,,,,,,,,,,,,,150285
Craven,E07000163,11767,14079,16953,12610,55409,44.5,47,,,,,,,,,,,,,50080
Crawley,E07000226,27020,41232,24877,13468,106597,36.8,35,,,,,,,,,,,,,108082
Croydon,E09000008,97764,133722,87517,44375,363378,36.4,35,,,,,,,,,,,,,181427
Dacorum,E07000096,35703,47531,38730,22883,144847,39.4,40,,,,,,,,,,,,,75981
Darlington,E06000005,25285,33595,28245,18439,105564,40.2,41,,,,,,,,,,,,,64311
Dartford,E07000107,24671,35121,23621,13952,97365,37.8,37,,,,,,,,,,,,,89729
Daventry,E07000151,18624,22862,23180,13177,77843,40.9,43,,,,,,,,,,,,,79307
Derby,E06000015,64311,89578,57194,37669,248752,37.6,36,,,,,,,,,,,,,8951
Derbyshire Dales,E07000035,14961,17754,22574,15827,71116,44.5,47,,,,,,,,,,,,,27298
Doncaster,E08000017,72636,97914,80711,51141,302402,39.8,40,,,,,,,,,,,,,17395
Dover,E07000108,25800,31670,31687,22517,111674,42.1,44,,,,,,,,,,,,,23367
Dudley,E08000027,75203,98758,80767,58197,312925,40.5,41,,,,,,,,,,,,,14961
Ealing,E09000009,83527,145996,72699,36227,338449,35.4,33,,,,,,,,,,,,,25678
East Cambridgeshire,E07000009,19888,27276,22347,14307,83818,40.2,40,,,,,,,,,,,,,21094
East Devon,E07000040,26254,31271,37586,37346,132457,46.9,49,,,,,,,,,,,,,21034
East Dorset,E07000049,17332,19800,25715,24319,87166,46.9,49,,,,,,,,,,,,,23289
East Hampshire,E07000085,27357,31748,34200,22303,115608,42,44,,,,,,,,,,,,,22232
East Hertfordshire,E07000242,34290,44190,37954,21253,137687,39.5,40,,,,,,,,,,,,,39209
East Lindsey,E07000137,26909,33082,40971,35439,136401,45.8,49,,,,,,,,,,,,,20363
East Northamptonshire,E07000152,21630,26179,24351,14605,86765,40.4,42,,,,,,,,,,,,,23295
East Riding of Yorkshire,E06000011,72051,91197,99476,71455,334179,43.5,45,,,,,,,,,,,,,11488
East Staffordshire,E07000193,27436,36773,30243,19131,113583,39.8,40,,,,,,,,,,,,,21951
Eastbourne,E07000061,21825,30351,24933,22303,99412,42.8,43,,,,,,,,,,,,,14061
Eastleigh,E07000086,29646,40408,34314,20831,125199,40.1,41,,,,,,,,,,,,,14276
Eden,E07000030,10904,13981,16150,11529,52564,44.1,46,,,,,,,,,,,,,26909
Elmbridge,E07000207,33467,40752,35138,21518,130875,39.8,40,,,,,,,,,,,,,22071
Enfield,E09000010,86259,116868,70506,38833,312466,35.9,34,,,,,,,,,,,,,23957
Epping Forest,E07000072,28816,38829,34464,22550,124659,41.1,42,,,,,,,,,,,,,18693
Epsom and Ewell,E07000208,18464,24046,20017,12575,75102,40,40,,,,,,,,,,,,,30991
Erewash,E07000036,25678,35997,30410,19996,112081,40.8,41,,,,,,,,,,,,,19934
Exeter,E07000041,27007,46184,26313,18269,117773,38.1,35,,,,,,,,,,,,,15683
Fareham,E07000087,24755,32210,31840,22776,111581,42.6,44,,,,,,,,,,,,,18624
Fenland,E07000010,21195,28800,25948,19319,95262,42.1,43,,,,,,,,,,,,,21630
Folkestone and Hythe,E07000112,24492,31323,29739,22415,107969,42.4,43,,,,,,,,,,,,,22998
Forest Heath,E07000201,13398,22702,13954,9694,59748,38.8,37,,,,,,,,,,,,,53840
Forest of Dean,E07000080,18471,22138,24366,16986,81961,43,45,,,,,,,,,,,,,20457
Fylde,E07000119,15284,19962,22168,18343,75757,44.9,47,,,,,,,,,,,,,18504
Gateshead,E08000037,45229,66629,53111,35245,200214,40.5,40,,,,,,,,,,,,,28602
Gedling,E07000173,25821,34817,31889,21016,113543,41.4,42,,,,,,,,,,,,,25846
Gloucester,E07000081,30529,42735,30359,18065,121688,38.2,38,,,,,,,,,,,,,23767
Gosport,E07000088,20196,26710,21610,14106,82622,39.8,40,,,,,,,,,,,,,25821
Gravesham,E07000109,26174,33793,25463,16290,101720,38.7,39,,,,,,,,,,,,,24258
Great Yarmouth,E07000145,22283,28346,26277,20371,97277,42.1,43,,,,,,,,,,,,,26460
Greenwich,E09000011,68315,107685,52441,26116,254557,34.6,33,,,,,,,,,,,,,25856
Guildford,E07000209,32048,49317,34425,21393,137183,39,38,,,,,,,,,,,,,39938
Hackney,E09000012,61797,124328,42750,17395,246270,32.4,30,,,,,,,,,,,,,68196
Halton,E06000006,31396,41169,34700,18481,125746,38.9,39,,,,,,,,,,,,,61576
Hambleton,E07000164,19179,23871,26849,19241,89140,43.5,46,,,,,,,,,,,,,43441
Hammersmith and Fulham,E09000013,35996,96159,33925,16413,182493,34.7,32,,,,,,,,,,,,,23381
Harborough,E07000131,20363,24228,25200,15591,85382,41.6,43,,,,,,,,,,,,,27436
Haringey,E09000014,63374,118255,50928,22369,254926,34.2,32,,,,,,,,,,,,,22307
Harlow,E07000073,20910,28527,20202,12305,81944,38.2,37,,,,,,,,,,,,,28188
Harrogate,E07000165,36206,46108,44661,30894,157869,42,43,,,,,,,,,,,,,22979
Harrow,E09000015,60031,88769,56589,33667,239056,37.6,36,,,,,,,,,,,,,28643
Hart,E07000089,22380,28431,25204,15018,91033,40,41,,,,,,,,,,,,,20480
Hartlepool,E06000001,22821,28446,25163,15598,92028,39.8,40,,,,,,,,,,,,,19184
Hastings,E07000062,21418,29067,24368,15401,90254,40.2,41,,,,,,,,,,,,,13882
Havant,E07000090,27912,34243,33104,25425,120684,42.3,44,,,,,,,,,,,,,30247
Havering,E09000016,56614,75927,62414,42277,237232,40.4,40,,,,,,,,,,,,,24240
"Herefordshire, County of",E06000019,39938,51961,52562,39016,183477,43,44,,,,,,,,,,,,,25727
Hertsmere,E07000098,25005,32651,26047,16328,100031,39.4,39,,,,,,,,,,,,,30200
High Peak,E07000037,21094,27293,26836,15669,90892,41.1,43,,,,,,,,,,,,,310198
Hillingdon,E09000017,72529,104010,62219,35178,273936,36.4,35,,,,,,,,,,,,,82951
Hinckley and Bosworth,E07000132,23295,31968,30482,19333,105078,41.7,43,,,,,,,,,,,,,75203
Horsham,E07000227,30747,36760,38224,25570,131301,42.1,44,,,,,,,,,,,,,82416
Hounslow,E09000018,63246,109596,54256,26859,253957,35.2,33,,,,,,,,,,,,,49783
Huntingdonshire,E07000011,40481,54654,47073,27300,169508,39.9,41,,,,,,,,,,,,,70277
Hyndburn,E07000120,20766,26657,20502,12809,80734,38.7,39,,,,,,,,,,,,,62952
Ipswich,E07000202,33068,48951,31535,19830,133384,38,36,,,,,,,,,,,,,21023
Isle of Wight,E06000046,29112,36674,39525,32954,138265,44.4,46,,,,,,,,,,,,,16206
Isles of Scilly,E06000053,380,673,644,506,2203,44.7,46,,,,,,,,,,,,,20587
Islington,E09000019,41790,107630,38669,18036,206125,34.5,31,,,,,,,,,,,,,23951
Kensington and Chelsea,E09000020,29720,73101,36713,19115,158649,37.8,36,,,,,,,,,,,,,25162
Kettering,E07000153,22998,30910,24573,14994,93475,39.5,40,,,,,,,,,,,,,21177
King's Lynn and West Norfolk,E07000146,31316,41924,40370,33841,147451,43.5,45,,,,,,,,,,,,,39880
"Kingston upon Hull, City of",E06000010,62692,96422,61561,35731,256406,37.5,36,,,,,,,,,,,,,61791
Kingston upon Thames,E09000021,38335,64783,36584,20358,160060,37,35,,,,,,,,,,,,,57585
Kirklees,E08000034,108082,143194,107032,64150,422458,38.4,38,,,,,,,,,,,,,48175
Knowsley,E08000011,36756,46444,39679,23014,145893,39.1,40,,,,,,,,,,,,,41089
Lambeth,E09000022,65889,157128,56882,23187,303086,33.7,31,,,,,,,,,,,,,42038
Lancaster,E07000121,32686,45454,34870,25365,138375,40.2,40,,,,,,,,,,,,,27020
Leeds,E08000035,181427,287496,172964,109598,751485,37.6,35,,,,,,,,,,,,,19888
Leicester,E06000016,89729,133144,69750,37216,329839,34.8,31,,,,,,,,,,,,,21195
Lewes,E07000063,21411,26182,27755,22154,97502,43.7,45,,,,,,,,,,,,,40481
Lewisham,E09000023,70064,122143,57543,26135,275885,34.6,33,,,,,,,,,,,,,36201
Lichfield,E07000194,22307,29495,28598,20254,100654,42.2,44,,,,,,,,,,,,,43999
Lincoln,E07000138,22071,36959,21185,13326,93541,37.4,34,,,,,,,,,,,,,35808
Liverpool,E08000012,107240,182617,111092,65466,466415,37.7,35,,,,,,,,,,,,,17063
Luton,E06000032,57585,79359,42376,23881,203201,34.8,32,,,,,,,,,,,,,19233
Maidstone,E07000110,37052,49978,41599,26514,155143,40.1,41,,,,,,,,,,,,,39526
Maldon,E07000074,13576,16793,18886,12374,61629,43,45,,,,,,,,,,,,,41367
Malvern Hills,E07000235,16206,18010,22434,17981,74631,44.9,47,,,,,,,,,,,,,28816
Manchester,E08000003,130117,235033,90433,47544,503127,33.2,29,,,,,,,,,,,,,20910
Mansfield,E07000174,24258,33822,28440,17946,104466,40.2,41,,,,,,,,,,,,,13576
Medway,E06000035,68987,90943,66990,37005,263925,37.7,37,,,,,,,,,,,,,19008
Melton,E07000133,11488,14692,14939,9257,50376,41.7,43,,,,,,,,,,,,,28896
Mendip,E07000187,26406,30024,31571,21278,109279,41.9,43,,,,,,,,,,,,,19967
Merton,E09000024,47120,85992,43459,23122,199693,36.3,34,,,,,,,,,,,,,23458
Mid Devon,E07000042,18110,21411,22364,15865,77750,42.3,44,,,,,,,,,,,,,35703
